AÑO,MES,DISTRITO,FUEGOS,DAÑOS EN CONSTRUCCION,SALVAMENTOS Y RESCATES,DAÑOS POR AGUA,INCIDENTES DIVERSOS,SALIDAS SIN INTERVENCION,SERVICIOS VARIOS,TOTAL
2024,mayo,CENTRO,235,184,357,120,385,66,65,1412
2024,mayo,ARGANZUELA,73,44,129,46,142,14,14,462
2024,mayo,RETIRO,41,31,115,30,86,16,7,326
2024,mayo,SALAMANCA,69,91,176,65,158,23,24,606
2024,mayo,CHAMARTIN,83,31,124,47,156,26,36,503
2024,mayo,TETUAN,122,76,178,68,100,16,25,585
2024,mayo,CHAMBERI,82,77,166,44,112,14,14,509
2024,mayo,FUENCARRAL,140,36,176,57,191,25,29,654
2024,mayo,MONCLOA,77,36,136,35,161,18,32,495
2024,mayo,LATINA,148,43,226,55,151,26,33,682
2024,mayo,CARABANCHEL,166,62,237,70,205,25,19,784
2024,mayo,USERA,77,20,122,31,97,15,16,378
2024,mayo,PUENTE VALLECAS,199,60,225,69,173,28,74,828
2024,mayo,MORATALAZ,67,10,73,30,62,8,4,254
2024,mayo,CIUDAD LINEAL,89,60,177,49,173,28,9,585
2024,mayo,HORTALEZA,117,31,148,46,155,16,9,522
2024,mayo,VILLAVERDE,148,22,121,48,112,15,15,481
2024,mayo,VILLA DE VALLECAS,125,11,115,24,76,11,4,366
2024,mayo,VICALVARO,65,15,56,15,74,7,6,238
2024,mayo,SAN BLAS,86,21,104,34,105,11,21,382
2024,mayo,BARAJAS,17,4,45,18,54,5,12,155
2024,mayo,FUERA TERMINO MUNICIPAL,8,1,2,0,2,1,5,19
2024,abril,CENTRO,46,37,81,25,71,17,7,284
2024,abril,ARGANZUELA,14,6,33,9,17,7,2,88
2024,abril,RETIRO,5,5,19,4,16,2,1,52
2024,abril,SALAMANCA,21,12,36,14,27,6,7,123
2024,abril,CHAMARTIN,15,7,24,9,30,5,6,96
2024,abril,TETUAN,24,16,29,16,24,2,5,116
2024,abril,CHAMBERI,24,11,33,10,28,4,2,112
2024,abril,FUENCARRAL,27,4,31,9,32,5,6,114
2024,abril,MONCLOA,16,6,28,6,27,4,4,91
2024,abril,LATINA,30,4,45,9,21,11,9,129
2024,abril,CARABANCHEL,24,3,45,12,49,6,1,140
2024,abril,USERA,16,1,20,3,14,3,2,59
2024,abril,PUENTE VALLECAS,51,8,45,15,38,3,4,164
2024,abril,MORATALAZ,3,0,14,2,14,0,1,34
2024,abril,CIUDAD LINEAL,12,10,35,8,39,6,0,110
2024,abril,HORTALEZA,24,7,29,12,29,4,1,106
2024,abril,VILLAVERDE,35,3,23,11,22,2,4,100
2024,abril,VILLA DE VALLECAS,22,2,24,5,14,1,2,70
2024,abril,VICALVARO,13,2,11,3,13,0,0,42
2024,abril,SAN BLAS,14,4,20,7,13,1,3,62
2024,abril,BARAJAS,4,0,15,2,10,2,5,38
2024,abril,FUERA TERMINO MUNICIPAL,0,0,2,0,2,0,1,5
2024,marzo,CENTRO,51,56,75,25,85,13,14,319
2024,marzo,ARGANZUELA,8,16,28,9,23,0,2,86
2024,marzo,RETIRO,7,8,30,8,17,2,1,73
2024,marzo,SALAMANCA,9,26,43,7,34,1,2,122
2024,marzo,CHAMARTIN,12,6,17,17,36,5,8,101
2024,marzo,TETUAN,21,14,35,11,20,1,3,105
2024,marzo,CHAMBERI,14,26,31,12,15,1,1,100
2024,marzo,FUENCARRAL,17,11,24,5,45,6,4,112
2024,marzo,MONCLOA,8,10,28,6,31,8,4,95
2024,marzo,LATINA,20,9,41,14,36,5,3,128
2024,marzo,CARABANCHEL,40,18,44,15,46,5,1,169
2024,marzo,USERA,7,6,29,7,19,0,2,70
2024,marzo,PUENTE VALLECAS,31,10,38,14,33,5,12,143
2024,marzo,MORATALAZ,18,1,17,8,18,1,0,63
2024,marzo,CIUDAD LINEAL,17,18,35,12,36,10,0,128
2024,marzo,HORTALEZA,12,6,24,10,42,1,0,95
2024,marzo,VILLAVERDE,25,2,30,5,19,2,1,84
2024,marzo,VILLA DE VALLECAS,29,3,17,2,19,2,0,72
2024,marzo,VICALVARO,6,5,9,5,16,1,2,44
2024,marzo,SAN BLAS,15,3,22,4,29,3,4,80
2024,marzo,BARAJAS,4,0,6,2,14,0,3,29
2024,marzo,FUERA TERMINO MUNICIPAL,2,0,0,0,1,0,0,3
2024,febrero,CENTRO,68,52,109,47,118,22,22,438
2024,febrero,ARGANZUELA,24,14,42,12,42,5,4,143
2024,febrero,RETIRO,15,11,33,7,25,7,3,101
2024,febrero,SALAMANCA,23,31,57,34,51,8,8,212
2024,febrero,CHAMARTIN,28,7,48,14,36,10,12,155
2024,febrero,TETUAN,45,30,59,23,29,7,7,200
2024,febrero,CHAMBERI,20,24,53,18,34,3,9,161
2024,febrero,FUENCARRAL,47,11,63,29,53,9,8,220
2024,febrero,MONCLOA,21,12,40,18,43,3,13,150
2024,febrero,LATINA,52,21,76,22,47,5,7,230
2024,febrero,CARABANCHEL,68,28,76,26,60,6,11,275
2024,febrero,USERA,37,9,40,17,32,10,3,148
2024,febrero,PUENTE VALLECAS,65,28,99,32,50,8,46,328
2024,febrero,MORATALAZ,33,8,26,15,10,6,3,101
2024,febrero,CIUDAD LINEAL,26,15,55,17,49,7,3,172
2024,febrero,HORTALEZA,39,12,55,15,41,4,4,170
2024,febrero,VILLAVERDE,46,9,37,15,34,5,5,151
2024,febrero,VILLA DE VALLECAS,25,4,36,11,26,4,0,106
2024,febrero,VICALVARO,25,3,15,5,23,3,4,78
2024,febrero,SAN BLAS,36,11,31,19,44,5,10,156
2024,febrero,BARAJAS,3,4,9,12,14,3,2,47
2024,febrero,FUERA TERMINO MUNICIPAL,6,1,1,0,1,1,5,15
2024,enero,CENTRO,41,27,61,23,61,10,7,230
2024,enero,ARGANZUELA,13,10,23,7,22,5,2,82
2024,enero,RETIRO,8,6,21,4,16,1,2,58
2024,enero,SALAMANCA,13,15,30,19,26,5,4,112
2024,enero,CHAMARTIN,18,5,27,6,19,10,6,91
2024,enero,TETUAN,22,16,31,13,17,3,3,105
2024,enero,CHAMBERI,13,13,35,8,16,2,9,96
2024,enero,FUENCARRAL,26,5,39,21,28,6,2,127
2024,enero,MONCLOA,11,8,29,11,23,2,4,88
2024,enero,LATINA,35,12,37,17,28,2,2,133
2024,enero,CARABANCHEL,37,11,44,12,34,5,6,149
2024,enero,USERA,22,4,18,7,19,3,2,75
2024,enero,PUENTE VALLECAS,36,16,52,21,30,6,28,189
2024,enero,MORATALAZ,13,5,15,10,2,5,3,53
2024,enero,CIUDAD LINEAL,14,3,34,10,27,5,3,96
2024,enero,HORTALEZA,19,4,24,10,27,3,3,90
2024,enero,VILLAVERDE,25,2,28,10,15,2,4,86
2024,enero,VILLA DE VALLECAS,14,1,18,2,7,4,0,46
2024,enero,VICALVARO,15,2,8,4,11,1,2,43
2024,enero,SAN BLAS,20,5,12,9,18,4,6,74
2024,enero,BARAJAS,1,4,4,8,7,2,1,27
2024,enero,FUERA DEL TÉRMINO MUNICIPAL,3,0,0,0,0,0,2,5